"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"bulletin:16B","__________________________
COMPENSATION

You will receive a bonus for stopping any trespasser. A smaller bonus is provided for firing on, but missing, your target.

__________________________
WEAPONS PROTOCOL

Review instructional diagram on following page.","__________________________
獎金

若成功制伏闖關者，你將會獲得一筆額外獎金。在開槍但未能擊中闖關者的情況下，國家還是會提供一筆較少的津貼給你。

__________________________
武器使用守則

請詳閱次頁的指導文件。"
"bulletin:18A","Unfavorable international press has affected immigration protocol.

All denials must be accompanied by a REASON FOR DENIAL stamp.

A new computer inking system has been installed. Interrogate discrepancies to prime the REASON FOR DENIAL stamp.

Continued...","被惹腦的國際記者成功影響了我國現行的入境程序。

現在開始，所有拒簽的護照皆必須一併蓋上「拒絕入境事由」的說明章。

新的電腦列印系統已經安裝在你的工作室了。對可疑或不合規定的資料進行質詢以登錄拒簽理由至系統中。

接下頁..."
"bulletin:18B","__________________________
DENIAL PROTOCOL

REASON FOR DENIAL stamp is activated on first interrogation.

When denying entry, stamp both DENIED and REASON FOR DENIAL on passport.

If applicant clarifies discrepancies sufficiently, approval is authorized even while REASON FOR DENIAL stamp remains available.","__________________________
拒簽程序

「拒絕入境事由」印章在第一次質詢後變會自動啟動。

當確定拒簽旅客時，在護照的入境簽證頁同時蓋上「拒絕入境」章以及「拒絕入境事由」章。

若旅客能夠完整澄清對話或文件的差異處，即使「拒絕入境事由」系統已經啟動也應該給予入境簽證。"
"bulletin:19A","Impor rejects all imported goods from Arstotzka.

Under request from the Ministry of Trade, the Ministry of Admission will react to this violation.

Deny all travelers from Impor.","Impor 封鎖了所有來自 Arstotzka 的進口貨物。

受國際貿易部之託，入境管理部將針對此舉做出回應。

請將所有國籍為 Impor 的旅客拒絕入境。"
"bulletin:20A","Impor has relented on their faulty policy.

Imporians are now permitted entry.

The divisional authority of East Grestin operations will visit again today.","Impor 已經收回他們的荒謬政策了。

現在起不必封鎖 Impor 國民的入境。

East Grestin 管理部的長官今天會再度來訪視察。"
"bulletin:21A","A special program for political asylum has been established.

Those seeking asylum must carry a valid GRANT OF ASYLUM.

Entrants with such a grant do not require an ENTRY PERMIT or an ID SUPPLEMENT.","我們為政治庇護建立了一個特別流程。

入境尋求政治庇護的人士必須出示有效的「政治庇護證明書」。

持有「政治庇護證明書」的申請人不需驗證「入境證」或
「身份辨識補充信息」。"
"bulletin:23A","Your position is important and your responsibilities are broad.

Follow all protocols strictly.","這是一個重要的職位，你必須負非常多的責任。

務必嚴格落實所有的守則及程序。"
"bulletin:24A","Recent events have cast suspicion on the activities of Arstotzkan citizens in the ALTAN district.

The Ministry of Information has requested our cooperation.

A special drawer for confiscating documents has been installed in your booth.

Continued...","近日的激進行動被懷疑是來自ALTAN區的Arstotzka國民所組織的。

國家情報部要求我們協助這項調查。

我們在你的工作室中安裝了一個專門用來存放沒收文的抽屜。

接下頁..."
"bulletin:24B","The rulebook has been updated with information regarding confiscation policy.

Confiscate all Arstotzkan passports from residents living in ALTAN district.

Travelers may still be granted entry if passport is confiscated and no other rules are violated.

PASSPORT SEIZURE slips will be issued to allow entry or denial without a passport.","The rulebook has been updated with information regarding confiscation policy.

Confiscate all Arstotzkan passports from residents living in ALTAN district.

Travelers may still be granted entry if passport is confiscated and no other rules are violated.

PASSPORT SEIZURE slips will be issued to allow entry or denial without a passport."
"bulletin:25A","United Federation citizens present a risk of spreading infectious disease.

Deny all entrants from United Federation.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","United Federation citizens present a risk of spreading infectious disease.

Deny all entrants from United Federation.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district."
"bulletin:26A","The risk of disease is too great. A new protocol has been instituted.

All entrants must carry a valid CERTIFICATE OF VACCINATION with an up-to-date POLIO vaccine.

This requirement extends to natives, foreigners, diplomats, and asylum seekers.

Continued...","The risk of disease is too great. A new protocol has been instituted.

All entrants must carry a valid CERTIFICATE OF VACCINATION with an up-to-date POLIO vaccine.

This requirement extends to natives, foreigners, diplomats, and asylum seekers.

Continued..."
"bulletin:26B","United Federation citizens are permitted entry with such certification.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","United Federation citizens are permitted entry with such certification.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district."
"bulletin:27A","In order to improve efficiency, the ENTRY PERMIT and ID SUPPLEMENT have been consolidated into a single ACCESS PERMIT.

Foreigners are now required to present a valid ACCESS PERMIT.

Continued...","In order to improve efficiency, the ENTRY PERMIT and ID SUPPLEMENT have been consolidated into a single ACCESS PERMIT.

Foreigners are now required to present a valid ACCESS PERMIT.

Continued..."
"bulletin:27B","Yesterday's coordinated attack has prompted an emergency meeting. 

An important Kolechian negotiator will arrive today to discuss issues at this checkpoint.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","Yesterday's coordinated attack has prompted an emergency meeting. 

An important Kolechian negotiator will arrive today to discuss issues at this checkpoint.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district."
"bulletin:28A","In response to continued attacks, the Ministry of Information is expanding the passport confiscation program.

Confiscate all Arstotzkan passports from native entrants.

There are no exceptions.

Do not confiscate foreign passports.","In response to continued attacks, the Ministry of Information is expanding the passport confiscation program.

Confiscate all Arstotzkan passports from native entrants.

There are no exceptions.

Do not confiscate foreign passports.

國家情報部"
"bulletin:29A","[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued...","[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued..."
"bulletin:29B","Continue to confiscate all Arstotzkan passports from native entrants.","Continue to confiscate all Arstotzkan passports from native entrants."
"bulletin:30A","[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued...","[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued..."
"bulletin:30B","Continue to confiscate all Arstotzkan passports from native entrants.","Continue to confiscate all Arstotzkan passports from native entrants."
"bulletin:31A","The Ministry of Admission is involved in discussions regarding the closure of this checkpoint.

Until a decision is made, maintain your duties as ordered.

Continued...","The Ministry of Admission is involved in discussions regarding the closure of this checkpoint.

Until a decision is made, maintain your duties as ordered.

Continued..."
"bulletin:31B","You are scheduled for an information audit tomorrow morning.

DO NOT LEAVE YOUR DESIGNATED REGION.

Continue to confiscate all Arstotzkan passports from native entrants.","You are scheduled for an information audit tomorrow morning.

DO NOT LEAVE YOUR DESIGNATED REGION.

Continue to confiscate all Arstotzkan passports from native entrants."
"facts","$paper: Invalid $fact","$paper: Invalid $fact"
"facts","Missing $paper","Missing $paper"
"facts","$0 DISTRICT","$0 DISTRICT"
"facts","Presence","Presence"
"facts","Sufficience","Sufficience"
"facts","Excellence","Excellence"
"facts","Obristan","Obristan"
"facts","Antegria","Antegria"
"facts","Republia","Republia"
"facts","UnitedFed","UnitedFed"
"facts","Impor","Impor"
"facts","Kolechia","Kolechia"
"facts","Arstotzka","Arstotzka"
"facts","Skal","Skal"
"facts","Lorndaz","Lorndaz"
"facts","Mergerous","Mergerous"
"facts","St. Marmero","St. Marmero"
"facts","Glorian","Glorian"
"facts","Outer Grouse","Outer Grouse"
"facts","True Glorian","True Glorian"
"facts","Lesrenadi","Lesrenadi"
"facts","Bostan","Bostan"
"facts","Great Rapid","Great Rapid"
"facts","Shingleton","Shingleton"
"facts","Korista City","Korista City"
"facts","Enkyo","Enkyo"
"facts","Haihan","Haihan"
"facts","Tsunkeido","Tsunkeido"
"facts","Yurko City","Yurko City"
"facts","Vedor","Vedor"
"facts","West Grestin","West Grestin"
"facts","Orvech Vonor","Orvech Vonor"
"facts","East Grestin","East Grestin"
"facts","Paradizna","Paradizna"
"facts","Passport","Passport"
"facts","Entry Ticket","入境券"
"facts","Entry Permit","Entry Permit"
"facts","Work Pass","工作許可證"
"facts","Id Card","Id Card"
"facts","Id Supplement","Id Supplement"
"facts","Access Permit","Access Permit"
"facts","Diplomatic Auth","外交官授權書"
"facts","Asylum Grant","政治庇護證明書"
"facts","Vaccine Cert","Vaccine Cert"
"facts","Identity Record","Identity Record"
"facts","Fingerprints","Fingerprints"
"facts","Name","Name"
"facts","Id Number","Id Number"
"facts","Expiration Date","Expiration Date"
"facts","Issuing City","Issuing City"
"facts","Birth Date","Birth Date"
"facts","Alias","Alias"
"facts","Height","Height"
"facts","Weight","Weight"
"facts","Description","Description"
"facts","Thumbprint","Thumbprint"
"facts","Date","Date"
"facts","Purpose","Purpose"
"facts","Duration","Duration"
"facts","Face","Face"
"facts","District","District"
"facts","Gender","Gender"
"facts","Work End Date","Work End Date"
"facts","Altan","Altan"
"facts","Vescillo","Vescillo"
"facts","Burnton","Burnton"
"facts","Octovalis","Octovalis"
"facts","Gennistora","Gennistora"
"facts","Lendiforma","Lendiforma"
"facts","Wozenfield","Wozenfield"
"facts","Fardesto","Fardesto"
"facts","DENTISTRY","牙醫"
"facts","HEALTH-CARE","健康照護"
"facts","GENERAL-LABOR","一般勞工"
"facts","ENGINEERING","工程"
"facts","SPORTS","運動員"
"facts","ARCHITECTURE","建築師"
"facts","FOOD-SERVICE","食品業"
"facts","AVIATION","航空業"
"facts","ACCOUNTING","會計"
"facts","FISHING","漁業"
"facts","DRAFTING","編輯"
"facts","RESEARCH","研究工作"
"facts","FINE-ARTS","純藝術"
"facts","AGRICULTURE","農業"
"facts","MANUFACTURING","製造業"
"facts","CONSTRUCTION","營建業"
"facts","SURVEYING","測量學"
"facts","STATISTICS","統計學"
"facts","POLIO","小兒麻痺"
"facts","HPV","人類乳突病毒"
"facts","COWPOX","牛痘"
"facts","TETANUS","破傷風"
"facts","YEL.FEV.","黃熱病"
"facts","CHOLERA","霍亂"
"facts","RUBELLA","德國麻疹"
"facts","HEP-B","B型肝炎"
"facts","MEASLES","麻疹"
"facts","TUBERC.","肺結核"
"facts","2 DAYS","2 DAYS"
"facts","14 DAYS","14 DAYS"
"facts","1 MONTH","1 MONTH"
"facts","2 MONTHS","2 MONTHS"
"facts","3 MONTHS","3 MONTHS"
"facts","6 MONTHS","6 MONTHS"
"facts","1 YEAR","1 YEAR"
"facts","FOREVER","FOREVER"
"facts","visit","visit"
"facts","transit","transit"
"facts","work","work"
"facts","immigrate","immigrate"
"facts","Possible Smuggler Admitted","Possible Smuggler Admitted"
"facts","Missing documents","Missing documents"
"facts","Wanted criminal admitted","Wanted criminal admitted"
"facts","Incorrect purpose response","Incorrect purpose response"
"facts","Incorrect visit duration response","Incorrect visit duration response"
"facts","Passport: Non-matching photo","Passport: Non-matching photo"
"facts","Forged Entry Permit","Forged Entry Permit"
"facts","Forged Work Pass","偽造的工作許可證"
"facts","Id Card: Non-matching photo","Id Card: Non-matching photo"
"facts","Forged Access Permit","Forged Access Permit"
"facts","No Diplomatic Access to Arstotzka","No Diplomatic Access to Arstotzka"
"facts","Forged Diplomatic Auth","偽造的外交官授權書"
"facts","Forged Asylum Grant Seal","偽造的政治庇護證明書"
"facts","Necessary vaccine expired","Necessary vaccine expired"
"facts","Missing necessary vaccine","Missing necessary vaccine"
"facts","Name does not match record","Name does not match record"
"facts","Alias does not match record","Alias does not match record"
"facts","Fingerprints do not match record","Fingerprints do not match record"
"facts","Cobrastan is not a real country","Cobrastan is not a real country"
"facts","No entry from Antegria","No entry from Antegria"
"facts","No entry from Arstotzka","No entry from Arstotzka"
"facts","No entry from Republia","No entry from Republia"
"facts","No entry from United Fed","No entry from United Fed"
"facts","No entry from Obristan","No entry from Obristan"
"facts","No entry from Impor","No entry from Impor"
"facts","No entry from Kolechia","No entry from Kolechia"
"facts","Possible Terrorist Admitted","Possible Terrorist Admitted"
"facts","Entrant Holds Conflicting Passports","Entrant Holds Conflicting Passports"
"facts","Entrant must have a passport","Entrant must have a passport"
"facts","Foreigners require an entry permit","Foreigners require an entry permit"
"facts","Foreigners require an entry ticket","外籍人士需要入境券"
"facts","All documents must be current","All documents must be current"
"facts","Workers must have a work pass","移工需出示工作許可證"
"facts","Citizens must have an id card","Citizens must have an id card"
"facts","Foreigners require an id supplement","Foreigners require an id supplement"
"facts","Arstotzkan citizens only","Arstotzkan citizens only"
"facts","No entry from United Federation","No entry from United Federation"
"facts","No weapons or contraband","No weapons or contraband"
"facts","All Kolechians must be searched","所有 Kolechia 的國民必須被強制搜身。"
"facts","Diplomats require authorization","Diplomats require authorization"
"facts","Entrant must have polio vaccine cert","Entrant must have polio vaccine cert"
"facts","Asylum seekers must have a grant","Asylum seekers must have a grant"
"facts","Foreigners require an access permit","Foreigners require an access permit"
"facts","CONFISCATE ARSTOTZKAN PASSPORTS BELONGING TO ALTAN RESIDENTS.","CONFISCATE ARSTOTZKAN PASSPORTS BELONGING TO ALTAN RESIDENTS."
"facts","CONFISCATE ALL ARSTOTZKAN PASSPORTS. NO EXCEPTIONS.","CONFISCATE ALL ARSTOTZKAN PASSPORTS. NO EXCEPTIONS."
"facts","Passport not confiscated","Passport not confiscated"
"paper:SecondPassport","West Grestin","West Grestin"
"paper:Rules","Basic Rules","Basic Rules"
"paper:Rules","Regional Map","Regional Map"
"paper:Rules","Booth Info","Booth Info"
"paper:Rules","Documents","Documents"
"paper:Rules","Confiscation","Confiscation"
"paper:Rules","Obristan","Obristan"
"paper:Rules","Antegria","Antegria"
"paper:Rules","Republia","Republia"
"paper:Rules","United","United"
"paper:Rules","Federation","Federation"
"paper:Rules","Impor","Impor"
"paper:Rules","Kolechia","Kolechia"
"paper:Rules","Arstotzka","Arstotzka"
"paper:Rules","ANTEGRIA","ANTEGRIA"
"paper:Rules","ARSTOTZKA","ARSTOTZKA"
"paper:Rules","IMPOR","IMPOR"
"paper:Rules","KOLECHIA","KOLECHIA"
"paper:Rules","OBRISTAN","OBRISTAN"
"paper:Rules","REPUBLIA","REPUBLIA"
"paper:Rules","UNITED FED.","UNITED FED."
"paper:Rules","Id Card (Native)","Id Card (Native)"
"paper:Rules","Entry Permit","Entry Permit"
"paper:Rules","Id Supplement","Id Supplement"
"paper:Rules","Access Permit","Access Permit"
"paper:Rules","Work Pass","工作許可證"
"paper:Rules","Diplomatic Auth.","外交官授權書"
"paper:Rules","Grant of Asylum","政治庇護證明書"
"paper:Rules","Vaccine Cert.","Vaccine Cert."
"intro","Congratulations.","恭喜！"
"intro","The October labor lottery is complete. Your name was pulled.","你的名字在十月勞動樂透中被抽出，"
"intro","For immediate placement, report to the Ministry of Admission at Grestin Border Checkpoint.","請馬上至入境管理部轄下的Grestin邊境檢查哨報到。"
"intro","An apartment will be provided for you and your family in East Grestin. Expect a Class-8 dwelling.","我們將於East Grestin<br>提供一間第8級的公寓給你及你的家人。"
"intro","Glory to Arstotzka.","Arstotzka萬歲。"
"end:in-debt","Arstotzka has zero tolerance for delinquency.","Arstotzka has zero tolerance for delinquency."
"end:in-debt","Your family will be sent back to their village.","Your family will be sent back to their village."
"end:in-debt","You are under arrest until your debts are repaid.","You are under arrest until your debts are repaid."
"end:in-debt","A replacement inspector will be found easily.","A replacement inspector will be found easily."
"end:in-debt","Glory to Arstotzka.","Arstotzka萬歲。"
"end:family-dead","Your entire family is gone.","你所有的家人全部都過世了。"
"end:family-dead","The Ministry Of Labor focuses on Arstotzka's future growth.","國家勞動部相當關注 Arstotzka 未來的發展。"
"end:family-dead","Workers are expected to support large healthy families.","勞工有責任及義務扶養一群健康的家人。"
"end:family-dead","Your position will be filled by someone more appropriate.","你的現職將被其他更...適合的人員取代。"
"end:family-dead","Glory to Arstotzka.","Arstotzka萬歲。"
"end:turned-over-ezic-docs","You are under arrest for associating with suspicious groups.","你因為涉嫌協助可疑團體而被捕。"
"end:turned-over-ezic-docs","The Ministry of Information will perform a full audit of your recent activities.","國家情報部會對你最近的活動<br>做出完整的調查聽證會。"
"end:turned-over-ezic-docs","Glory to Arstotzka.","Arstotzka萬歲"
"end:caught-with-ezic-money","The Ministry of Income has discovered an anomaly in your earnings.","The Ministry of Income has discovered an anomaly in your earnings."
"end:caught-with-ezic-money","You are under arrest pending a full audit of your recent activities.","You are under arrest pending a full audit of your recent activities."
"end:caught-with-ezic-money","Your family will likewise be held for questioning.","Your family will likewise be held for questioning."
"end:caught-with-ezic-money","The border will remain open under a replacement inspector.","The border will remain open under a replacement inspector."
"end:caught-with-ezic-money","Glory to Arstotzka.","Arstotzka萬歲。"
"end:killed-innocent","You are under arrest for the murder of an innocent.","You are under arrest for the murder of an innocent."
"end:killed-innocent","The penalty is death.","The penalty is death."
"end:killed-innocent","Your family will be questioned about their involvement.","Your family will be questioned about their involvement."
"end:killed-innocent","The border will remain open under a replacement inspector.","The border will remain open under a replacement inspector."
"end:killed-innocent","Glory to Arstotzka.","Arstotzka萬歲。"
"end:tranqed-innocent","You are under arrest for attacking an innocent.","You are under arrest for attacking an innocent."
"end:tranqed-innocent","The penalty is forced labor.","The penalty is forced labor."
"end:tranqed-innocent","Your family will be questioned about their involvement.","Your family will be questioned about their involvement."
"end:tranqed-innocent","The border will remain open under a replacement inspector.","The border will remain open under a replacement inspector."
"end:tranqed-innocent","Glory to Arstotzka.","Arstotzka萬歲。"
"end:killed-guard","You are under arrest for the murder of an Arstotzkan official.","You are under arrest for the murder of an Arstotzkan official."
"end:killed-guard","The penalty is death.","The penalty is death."
"end:killed-guard","Your family will be questioned about their involvement.","Your family will be questioned about their involvement."
"end:killed-guard","The border will remain open under a replacement inspector.","The border will remain open under a replacement inspector."
"end:killed-guard","Glory to Arstotzka.","Arstotzka萬歲。"
"end:tranqed-guard","You are under arrest for attacking an Arstotzkan official.","You are under arrest for attacking an Arstotzkan official."
"end:tranqed-guard","The penalty is death.","The penalty is death."
"end:tranqed-guard","Your family will be questioned about their involvement.","Your family will be questioned about their involvement."
"end:tranqed-guard","The border will remain open under a replacement inspector.","The border will remain open under a replacement inspector."
"end:tranqed-guard","Glory to Arstotzka.","Arstotzka萬歲。"
"end:killed-target","You are under arrest for the murder of an innocent.","You are under arrest for the murder of an innocent."
"end:killed-target","The penalty is death.","The penalty is death."
"end:killed-target","Your family will be questioned about their involvement.","Your family will be questioned about their involvement."
"end:killed-target","The border will remain open under a replacement inspector.","The border will remain open under a replacement inspector."
"end:killed-target","Glory to Arstotzka.","Arstotzka萬歲。"
"end:killed-target","[A note appears from under the cell door]","[A note appears from under the cell door]"
"end:killed-target","INSPECTOR - FAMILY IS SAFE - TARGET ELIMINATED BUT OTHER PROBLEMS ARISE","INSPECTOR - FAMILY IS SAFE - TARGET ELIMINATED BUT OTHER PROBLEMS ARISE"
"end:killed-target","REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED","REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED"
"end:killed-target","WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN","WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN"
"end:killed-target","FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK","FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK"
"end:tranqed-target","You are under arrest for attacking an innocent.","You are under arrest for attacking an innocent."
"end:tranqed-target","The penalty is forced labor.","The penalty is forced labor."
"end:tranqed-target","Your family will be questioned about their involvement.","Your family will be questioned about their involvement."
"end:tranqed-target","The border will remain open under a replacement inspector.","The border will remain open under a replacement inspector."
"end:tranqed-target","Glory to Arstotzka.","Arstotzka萬歲。"
"end:tranqed-target","[A note appears from under the cell door]","[A note appears from under the cell door]"
"end:tranqed-target","INSPECTOR - FAMILY IS SAFE - TARGET HAS RECOVERED IN HOSPITAL","INSPECTOR - FAMILY IS SAFE - TARGET HAS RECOVERED IN HOSPITAL"
"end:tranqed-target","REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED","REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED"
"end:tranqed-target","WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN","WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN"
"end:tranqed-target","FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK","FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK"
"end:stuff-on-walls","You are under arrest for violating direct orders.","You are under arrest for violating direct orders."
"end:stuff-on-walls","The penalty is forced labor.","The penalty is forced labor."
"end:stuff-on-walls","Your family will be sent back to their village.","Your family will be sent back to their village."
"end:stuff-on-walls","The border will remain open under a replacement inspector.","The border will remain open under a replacement inspector."
"end:stuff-on-walls","Glory to Arstotzka.","Arstotzka萬歲。"
"end:arrested-boss-buddy","Your supervisor has reported you for theft of Arstotzkan property.","Your supervisor has reported you for theft of Arstotzkan property."
"end:arrested-boss-buddy","The penalty is forced labor.","The penalty is forced labor."
"end:arrested-boss-buddy","Your family will be sent back to their village.","Your family will be sent back to their village."
"end:arrested-boss-buddy","The border will remain open under a replacement inspector.","The border will remain open under a replacement inspector."
"end:arrested-boss-buddy","Glory to Arstotzka.","Arstotzka萬歲。"
"end:wall-destroyed","The Grestin Border wall has been destroyed.","The Grestin Border wall has been destroyed."
"end:wall-destroyed","You are under arrest for failure to defend the checkpoint.","You are under arrest for failure to defend the checkpoint."
"end:wall-destroyed","Your family will be sent back to their village.","Your family will be sent back to their village."
"end:wall-destroyed","The border will reopen under a replacement inspector.","The border will reopen under a replacement inspector."
"end:wall-destroyed","Glory to Arstotzka.","Arstotzka萬歲。"
"end:help-ezic-kill-attackers-wall-safe","Hello inspector.","Hello inspector."
"end:help-ezic-kill-attackers-wall-safe","We have audited your recent activities.","We have audited your recent activities."
"end:help-ezic-kill-attackers-wall-safe","Your involvement with a group calling themselves THE ORDER OF THE EZIC STAR has been uncovered.","Your involvement with a group calling themselves THE ORDER OF THE EZIC STAR has been uncovered."
"end:help-ezic-kill-attackers-wall-safe","Several members of this group have been arrested in Arstotzka.","Several members of this group have been arrested in Arstotzka."
"end:help-ezic-kill-attackers-wall-safe","At least one EZIC member has confessed to receiving your help.","At least one EZIC member has confessed to receiving your help."
"end:help-ezic-kill-attackers-wall-safe","This represents treason of the highest order.","This represents treason of the highest order."
"end:help-ezic-kill-attackers-wall-safe","Goodbye inspector.","Goodbye inspector."
"end:help-ezic-kill-attackers-wall-safe","The execution is scheduled for tonight.","The execution is scheduled for tonight."
"end:help-ezic-kill-attackers-wall-safe","Your family's safety is unknown.","Your family's safety is unknown."
"end:help-ezic-kill-attackers-wall-safe","EZIC has been crushed. The balance of justice is restored.","EZIC has been crushed. The balance of justice is restored."
"end:help-ezic-kill-attackers-wall-safe","Glory to Arstotzka.","Arstotzka萬歲。"
"end:help-ezic-kill-attackers-wall-safe","[A note appears from under the cell door]","[A note appears from under the cell door]"
"end:help-ezic-kill-attackers-wall-safe","INSPECTOR - YOU HAVE BETRAYED US AT THE LAST MOMENT","INSPECTOR - YOU HAVE BETRAYED US AT THE LAST MOMENT"
"end:help-ezic-kill-attackers-wall-safe","THIS CHAPTER OF EZIC IS OVER - WE CAN OFFER NO HELP TO YOUR FAMILY","THIS CHAPTER OF EZIC IS OVER - WE CAN OFFER NO HELP TO YOUR FAMILY"
"end:help-ezic-kill-attackers-wall-destroyed","The border has been pierced.","The border has been pierced."
"end:help-ezic-kill-attackers-wall-destroyed","It is a glorious day for THE ORDER OF THE EZIC STAR but you have betrayed us at the last moment.","It is a glorious day for THE ORDER OF THE EZIC STAR but you have betrayed us at the last moment."
"end:help-ezic-kill-attackers-wall-destroyed","EZIC grows strong while the corrupt and greedy weaken.","EZIC grows strong while the corrupt and greedy weaken."
"end:help-ezic-kill-attackers-wall-destroyed","Your betrayal means you have chosen the wrong side.","Your betrayal means you have chosen the wrong side."
"end:help-ezic-kill-attackers-wall-destroyed","There is no place for you or your family in this revolution.","There is no place for you or your family in this revolution."
"end:help-ezic-kill-attackers-wall-destroyed","Goodbye inspector.","Goodbye inspector."
"end:help-ezic-kill-attackers-wall-destroyed","Glory to the New Arstotzka.","Glory to the New Arstotzka."
"end:help-few-ezic","Hello inspector.","Hello inspector."
"end:help-few-ezic","We have audited your recent activities.","We have audited your recent activities."
"end:help-few-ezic","Your involvement with a group calling themselves THE ORDER OF THE EZIC STAR has been uncovered.","Your involvement with a group calling themselves THE ORDER OF THE EZIC STAR has been uncovered."
"end:help-few-ezic","Several members of this group have been arrested in Arstotzka.","Several members of this group have been arrested in Arstotzka."
"end:help-few-ezic","At least one EZIC member has confessed to receiving your help.","At least one EZIC member has confessed to receiving your help."
"end:help-few-ezic","This represents treason of the highest order.","This represents treason of the highest order."
"end:help-few-ezic","Goodbye inspector.","Goodbye inspector."
"end:help-few-ezic","The execution is scheduled for tonight.","The execution is scheduled for tonight."
"end:help-few-ezic","Your family's safety is unknown.","Your family's safety is unknown."
"end:help-few-ezic","EZIC has been crushed. The balance of justice is restored.","EZIC has been crushed. The balance of justice is restored."
"end:help-few-ezic","Glory to Arstotzka.","Arstotzka萬歲。"
"end:escape","You board the late train to the Northern Territories. It is nearly empty.","You board the late train to the Northern Territories. It is nearly empty."
"end:escape","You pay for the hastily forged passport and re-entry ticket. They look terrible.","你花了大把鈔票買了匆忙偽造的護照和回國證。他們看起來糟糕到不行。"
"end:escape","You pay for the hastily forged passports and re-entry tickets. They look terrible.","你花了大把鈔票買了匆忙偽造的護照和回國證。他們看起來糟糕到不行。"
"end:escape","You reach the border crossing at dawn. The line is immense.","You reach the border crossing at dawn. The line is immense."
"end:escape","Six hours later.","Six hours later."
"end:escape","Your documents.","Your documents."
"end:escape","Here.","Here."
"end:escape","You are entering alone?","You are entering alone?"
"end:escape","Yes.","Yes."
"end:escape","I come to visit relatives.","I come to visit relatives."
"end:escape","No, my family as well.","No, my family as well."
"end:escape","Hand over all documents now.","Hand over all documents now."
"end:escape","We come to visit relatives.","We come to visit relatives."
"end:escape","I do not care why you come. Wait here.","I do not care why you come. Wait here."
"end:escape","*KACHUNK*","*KACHUNK*"
"end:escape","Welcome to Obristan. Next!","Welcome to Obristan. Next!"
"end:help-ezic-hold-fire","Inspector! It is a glorious day!","Inspector! It is a glorious day!"
"end:help-ezic-hold-fire","The border has been pierced.","The border has been pierced."
"end:help-ezic-hold-fire","EZIC grows strong while the corrupt and greedy weaken.","EZIC grows strong while the corrupt and greedy weaken."
"end:help-ezic-hold-fire","We are moving you and your family to a better home.","We are moving you and your family to a better home."
"end:help-ezic-hold-fire","Your services as an inspector are no longer required. We need agents.","Your services as an inspector are no longer required. We need agents."
"end:help-ezic-hold-fire","Follow us and together we will complete the revolution!","Follow us and together we will complete the revolution!"
"end:help-ezic-hold-fire","Glory to the New Arstotzka.","Glory to the New Arstotzka."
"end:ignore-ezic","Hello inspector.","Hello inspector."
"end:ignore-ezic","We have audited your activities for the past 20 years.","We have audited your activities for the past 20 years."
"end:ignore-ezic","There are some anomalies.","There are some anomalies."
"end:ignore-ezic","But you have served Arstotzka well.","But you have served Arstotzka well."
"end:ignore-ezic","We will overlook these small transgressions.","We will overlook these small transgressions."
"end:ignore-ezic","You have been cleared of any suspicion.","You have been cleared of any suspicion."
"end:ignore-ezic","Glory to Arstotzka.","Arstotzka萬歲。"
"end:ignore-ezic","A new agreement has been reached with Kolechia.","A new agreement has been reached with Kolechia."
